week_ending	weekly_revenue	weekly_costs	profit_margin	mrr	churn_rate	customer_count	new_customers	support_tickets	avg_ticket_resolution_hrs	cash_runway_months
1/5/2025	4200	3100	0.262	16800	0.042	112	5	34	4.2	18.5
1/12/2025	4350	3050	0.299	17100	0.039	114	6	31	3.8	18.7
1/19/2025	4100	3200	0.22	16900	0.044	112	4	38	4.5	18.2
1/26/2025	4500	3150	0.3	17400	0.037	116	7	29	3.6	19
2/2/2025	4650	3100	0.333	17800	0.035	119	8	33	4	19.3
2/9/2025	4400	3250	0.261	17500	0.041	118	5	36	4.3	18.8
2/16/2025	4700	3200	0.319	18000	0.033	122	9	30	3.5	19.5
2/23/2025	4550	3300	0.275	17700	0.038	120	6	35	4.1	19.1
3/2/2025	4800	3150	0.344	18300	0.031	125	10	28	3.3	19.8
3/9/2025	4650	3400	0.269	18100	0.036	123	7	37	4.4	19.4
3/16/2025	4900	3250	0.337	18600	0.03	128	11	27	3.2	20.1
3/23/2025	5100	3300	0.353	19000	0.028	132	12	32	3.7	20.5
3/30/2025	4950	3350	0.323	18800	0.032	130	8	34	4	20.2
4/6/2025	5200	3400	0.346	19300	0.027	135	13	26	3.1	20.8
4/13/2025	5050	3500	0.307	19100	0.031	133	9	39	4.6	20.4
4/20/2025	5300	3350	0.368	19600	0.025	138	14	25	3	21.2
4/27/2025	5150	3450	0.33	19400	0.029	136	10	33	3.8	20.9
5/4/2025	5400	3500	0.352	19900	0.024	141	15	24	2.9	21.5
5/11/2025	5250	3600	0.314	19700	0.028	139	11	36	4.2	21.1
5/18/2025	5500	3400	0.382	20200	0.022	145	16	23	2.8	22
5/25/2025	5350	3550	0.336	20000	0.026	143	12	31	3.6	21.6
6/1/2025	5600	3500	0.375	20500	0.021	148	17	22	2.7	22.3
6/8/2025	5450	3650	0.33	20300	0.025	146	13	35	4.1	21.9
6/15/2025	5700	3550	0.377	20800	0.02	151	18	21	2.6	22.7
6/22/2025	5550	3600	0.351	20600	0.023	149	14	30	3.5	22.3
6/29/2025	5800	3500	0.397	21100	0.019	155	19	20	2.5	23
7/6/2025	5650	3700	0.345	20900	0.022	153	15	34	4	22.6
7/13/2025	5900	3600	0.39	21400	0.018	158	20	19	2.4	23.4
7/20/2025	5750	3750	0.348	21200	0.021	156	16	33	3.9	23
7/27/2025	6000	3650	0.392	21700	0.017	161	21	18	2.3	23.7
8/3/2025	5850	3800	0.35	21500	0.02	159	17	32	3.8	23.3
8/10/2025	6100	3700	0.393	22000	0.016	164	22	17	2.2	24.1
8/17/2025	5950	3850	0.353	21800	0.019	162	18	35	4.2	23.7
8/24/2025	6200	3750	0.395	22300	0.015	167	23	16	2.1	24.4
8/31/2025	6050	3900	0.356	22100	0.018	165	19	31	3.6	24
9/7/2025	6300	3800	0.397	22600	0.014	170	24	15	2	24.8
9/14/2025	6150	3950	0.358	22400	0.017	168	20	34	4	24.4
9/21/2025	6400	3850	0.398	22900	0.013	173	25	14	1.9	25.1
9/28/2025	6250	4000	0.36	22700	0.016	171	21	30	3.5	24.7
10/5/2025	6500	3900	0.4	23200	0.012	176	26	13	1.8	25.5
10/12/2025	6350	4050	0.362	23000	0.015	174	22	33	3.9	25.1
10/19/2025	6600	3950	0.402	23500	0.011	179	27	12	1.7	25.8
10/26/2025	6450	4100	0.364	23300	0.014	177	23	29	3.4	25.4
11/2/2025	6700	4000	0.403	23800	0.01	182	28	11	1.6	26.2
11/9/2025	6550	4150	0.366	23600	0.013	180	24	32	3.8	25.8
11/16/2025	6800	4050	0.404	24100	0.009	185	29	10	1.5	26.5
11/23/2025	6650	4200	0.368	23900	0.012	183	25	28	3.3	26.1
11/30/2025	6900	4100	0.406	24400	0.008	188	30	14	1.8	26.9
12/7/2025	6750	4250	0.37	24200	0.011	186	26	31	3.7	26.5
12/14/2025	7000	4150	0.407	24700	0.007	191	31	9	1.4	27.2
12/21/2025	6850	4300	0.372	24500	0.01	189	27	27	3.2	26.8
12/28/2025	7100	4200	0.408	25000	0.006	194	32	13	1.7	27.6
1/4/2026	6950	4350	0.374	24800	0.009	192	28	30	3.6	27.2
1/11/2026	7200	4250	0.41	25300	0.008	197	33	12	1.6	27.9
1/18/2026	7050	4400	0.376	25100	0.011	195	29	29	3.4	27.5
1/25/2026	7300	4300	0.411	25600	0.007	200	34	11	1.5	28.3
2/1/2026	7150	4450	0.378	25400	0.01	198	30	28	3.3	27.9
2/8/2026	7400	4350	0.412	25900	0.006	203	35	10	1.4	28.6
2/15/2026	7250	4500	0.379	25700	0.009	201	31	32	3.8	28.2
2/22/2026	7500	4400	0.413	26200	0.005	206	36	9	1.3	29
